Item,Time Estimate (Hours),Priority,Time Estimate
Install ceiling fans ,3.0,5,
Call Longview mantion ,1.0,7,
Breakdown boxes in garage ,2.0,7,
Figure out the ligh switch situation in the dining room,1.0,5,
Email umkc stuff for diploma ,,4,1.0
Update purchases with insurance and savings from paycheck,,8,0.0
"Update how ""Total Purchases"" is calculated in budget",,3,3.0
