Date,Distance,Destination,MPG
2023-10-02,22.3,Work,36.1
2023-10-02,22.5,Home,29.6
2023-10-03,22.3,Work,35.3
2023-10-03,22.5,Home,30.4
2023-10-04,22.3,Work,33.9
2023-10-04,22.5,Home,30.9
2023-10-05,22.3,Work,36.4
2023-10-05,22.5,Home,32.1
2023-10-06,6.2,Errand,22.2
2023-10-06,6.6,Errand,12.2
2023-10-09,22.3,Work,35.6
2023-10-09,22.5,Home,30.9
2023-10-10,22.3,Work,35.9
2023-10-10,22.5,Home,26.8
2023-10-11,22.3,Work,37.4
2023-10-11,22.5,Home,27.9
2023-10-16,22.3,Work,35.2
2023-10-16,21.5,Home,29.8
2023-10-17,22.3,Work,35.8
2023-10-17,20.8,Home,31.5
2023-10-18,22.4,Work,35.4
2023-10-18,20.8,Home,34.5
2023-10-19,22.3,Work,36.5
2023-10-19,21.7,Home,34.2
2023-10-22,5.1,Errand,27.3
2023-10-23,22.3,Work,36.7
2023-10-23,22.5,Home,36.0
2023-10-24,22.3,Work,39.5
2023-10-24,22.5,Home,35.3
2023-10-25,22.3,Work,38.0
2023-10-25,22.5,Home,33.7
2023-10-29,10.8,Errand,29.8
2023-10-30,22.3,Work,37.4
2023-10-30,22.5,Home,36.6
2023-10-31,22.3,Work,36.8
2023-10-31,22.5,Home,35.6
